Subject,Course Catalog Nbr,Course ID,Class Nbr,Acad Career,Acad Group,Course Descr,FCEF,GFC Hours,Acad Org,Requisite,Enroll Type,Class Assoc,Component,Class Section,Term,Session,Crse Topic ID,Topic Description,Class Notes,Instruction Mode,Class Status,Mtg Nbr,Start Date,End Date,Class Start,Class End,Duration,Meeting Pattern,Alt Week,MON,TUES,WED,THURS,FRI,SAT,SUN,Location,Facility,Room Size,Enroll Stat,Enroll Tot,Enroll Cap,Waitlist Cap,Class Assoc Req,Reserved Cap,Consent,Combined Section,Instructor Name and Role,Crse Units
SOWK,303,137533,15782,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,6,TUT,T06,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,13:00,15:50,170,TWRFS  13:00-15:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 4261,40,C,17,17,0,Y,,N,,"Ing,Carol(PI)",
SOWK,303,137533,15783,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,7,SEM,S07,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,9:00,11:50,170,TWRFS  09:00-11:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 3208,40,C,17,17,0,Y,,N,,"McLuckie,Alan(PI)",3
SOWK,303,137533,15784,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,7,TUT,T07,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,13:00,15:50,170,TWRFS  13:00-15:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 3208,40,C,17,17,0,Y,,N,,"McLuckie,Alan(PI)",
SOWK,303,137533,15785,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,8,SEM,S08,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,9:00,11:50,170,TWRFS  09:00-11:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 4224,30,C,15,15,0,Y,,N,,"Stein,Jason John(PI)",3
SOWK,303,137533,15786,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,8,TUT,T08,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,13:00,15:50,170,TWRFS  13:00-15:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 4224,30,C,15,15,0,Y,,N,,"Stein,Jason John(PI)",
SOWK,303,137533,15787,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,9,SEM,S09,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,9:00,11:50,170,TWRFS  09:00-11:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 4267,29,O,12,17,0,Y,,N,,"LaRocque,Sarah(PI)",3
SOWK,303,137533,15788,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,9,TUT,T09,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,13:00,15:50,170,TWRFS  13:00-15:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 4267,29,O,12,17,0,Y,,N,,"LaRocque,Sarah(PI)",
SOWK,304,137534,75647,UGRD,SW,Diversity & Oppression Course,F,6-0,SW,,E,1,LEC,1,2187,1,0,,Restricted to BSW Learning Circles students in Grande Prairie. This course will be delivered off-site in Grande Prairie.,P,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,GR PRAIRIE,,0,C,15,15,0,Y,,N,,"Zuk,Gail L(PI)",6
SOWK,355,161836,71776,UGRD,SW,Research in Context,H,3S-0,SW,,E,1,SEM,S01,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,9:00,11:50,170,W  09:00-11:50,,N,N,Y,N,N,N,N,MAIN,PF 4259,55,C,32,32,0,Y,,N,,"Shaw,Jessica Corinne Allen(PI)",3
SOWK,355,161836,75650,UGRD,SW,Research in Context,H,3S-0,SW,,E,2,SEM,S02,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,9:00,11:50,170,W  09:00-11:50,,N,N,Y,N,N,N,N,MAIN,PF 3208,40,O,24,27,0,Y,,N,,"Kaushik,Vibha(PI)",3
SOWK,355,161836,75653,UGRD,SW,Research in Context,H,3S-0,SW,,E,3,SEM,S03,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,9:00,11:50,170,W  09:00-11:50,,N,N,Y,N,N,N,N,MAIN,PF 3257,40,C,32,32,0,Y,,N,,"Sesma Vazquez,Monica(PI)",3
SOWK,355,161836,75654,UGRD,SW,Research in Context,H,3S-0,SW,,E,4,SEM,S04,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,9:00,11:50,170,W  09:00-11:50,,N,N,Y,N,N,N,N,MAIN,PF 4261,40,O,25,26,0,Y,,N,,"Kwan,Crystal(PI)",3
SOWK,361,161837,75661,UGRD,SW,Professional Use of Self,H,3S-0,SW,,E,1,SEM,S01,2187,1,0,,Restricted to Calgary-based BSW students.,P,A,1,06-Sep-2018,07-Dec-2018,13:00,15:50,170,M  13:00-15:50,,Y,N,N,N,N,N,N,MAIN,PF 4259,55,C,31,30,0,Y,,N,,"Archer-Kuhn,Beth Elizabeth(PI)",3
SOWK,361,161837,75662,UGRD,SW,Professional Use of Self,H,3S-0,SW,,E,2,SEM,S02,2187,1,0,,Restricted to Calgary-based BSW students.,P,A,1,06-Sep-2018,07-Dec-2018,13:00,15:50,170,M  13:00-15:50,,Y,N,N,N,N,N,N,MAIN,CHE 114,38,C,30,30,0,Y,,N,,"Fields,Jacqueline Ann(PI)",3
SOWK,361,161837,75663,UGRD,SW,Professional Use of Self,H,3S-0,SW,,E,3,SEM,S03,2187,1,0,,Restricted to Calgary-based BSW students.,P,A,1,06-Sep-2018,07-Dec-2018,13:00,15:50,170,M  13:00-15:50,,Y,N,N,N,N,N,N,MAIN,PF 3208,40,O,26,30,0,Y,,N,,"LaRocque,Sarah(PI)",3
